DocumentoHospede,DataCheckin,DataCheckout,NumeroQuarto,TipoQuarto,ValorReserva
31731064815,2022-12-04,2022-12-09,167,Luxo,834.72
10566220525,2023-02-21,2023-02-25,560,Standard,950.14
10566220525,2021-12-01,2021-12-05,162,Luxo,331.97
10566220525,2021-12-19,2021-12-27,478,Luxo,1185.2
10566220525,2023-08-01,2023-08-14,346,Executivo,747.99
81699727037,2021-01-06,2021-01-08,577,Luxo,1496.3
81699727037,2023-09-30,2023-10-06,406,Standard,1182.89
81699727037,2023-03-07,2023-03-22,566,Executivo,1487.78
54252879808,2020-04-26,2020-05-03,145,Luxo,765.74
86902508921,2024-02-03,2024-02-12,581,Standard,1265.82
65674255336,2022-12-02,2022-12-13,343,Standard,1262.36
65674255336,2020-03-19,2020-03-29,741,Luxo,352.22
65674255336,2022-12-17,2022-12-18,249,Executivo,1267.57
44814368740,2022-10-06,2022-10-11,129,Executivo,847.98
44814368740,2020-09-11,2020-09-15,474,Executivo,299.42
44814368740,2023-05-07,2023-05-14,233,Luxo,609.65
25135795590,2023-05-04,2023-05-07,530,Standard,1498.77
90700606237,2022-06-16,2022-07-01,161,Standard,960.56
90700606237,2022-12-08,2022-12-13,582,Luxo,1014.06
90700606237,2021-04-01,2021-04-08,734,Luxo,1367.56
89767752987,2022-11-13,2022-11-27,758,Luxo,1083.54
89767752987,2022-03-27,2022-03-30,635,Standard,943.58
89767752987,2022-06-19,2022-06-29,994,Executivo,971.21
89767752987,2021-05-09,2021-05-20,792,Standard,1031.76
12558734983,2021-01-27,2021-02-09,564,Luxo,445.37
12558734983,2024-02-07,2024-02-22,647,Standard,407.42
87894174094,2022-01-05,2022-01-08,723,Luxo,1094.19
98058584231,2020-02-01,2020-02-13,444,Luxo,761.76
98058584231,2020-11-05,2020-11-10,985,Standard,281.81
98058584231,2021-04-06,2021-04-20,898,Executivo,861.53
70143584945,2020-07-24,2020-08-04,346,Executivo,1071.03
70143584945,2021-03-12,2021-03-14,771,Executivo,1150.99
70143584945,2023-10-24,2023-11-03,377,Luxo,1248.46
91850590298,2021-07-06,2021-07-12,143,Executivo,578.16
91850590298,2022-12-19,2022-12-29,550,Standard,1015.57
91850590298,2020-07-20,2020-07-26,150,Luxo,1440.88
36161520667,2021-11-06,2021-11-20,345,Executivo,410.32
16819467626,2022-07-21,2022-07-25,186,Luxo,387.23
16819467626,2021-12-20,2021-12-25,657,Executivo,207.75
21210776520,2020-10-23,2020-10-26,970,Executivo,968.96
31317487823,2022-11-18,2022-11-27,857,Luxo,210.38
31317487823,2021-01-24,2021-02-08,145,Standard,1333.26
12833138236,2020-01-05,2020-01-10,133,Standard,621.82
12833138236,2023-04-06,2023-04-18,313,Executivo,1173.92
12833138236,2023-03-29,2023-04-06,790,Standard,364.2
12833138236,2022-05-11,2022-05-19,830,Executivo,1395.88
32542328508,2022-04-16,2022-04-27,928,Standard,1314.37
32542328508,2021-02-05,2021-02-06,717,Standard,1292.83
32542328508,2021-08-04,2021-08-15,983,Executivo,338.14
32542328508,2021-03-02,2021-03-05,864,Standard,359.43
89257409517,2020-08-12,2020-08-23,430,Executivo,1490.97
51989301621,2021-05-15,2021-05-22,466,Standard,1351.93
08870922318,2023-09-02,2023-09-07,416,Executivo,1120.28
80844839033,2022-04-03,2022-04-16,369,Luxo,1111.06
80844839033,2023-11-01,2023-11-15,947,Standard,837.86
80844839033,2022-04-04,2022-04-05,817,Executivo,423.24
48333754996,2021-07-12,2021-07-27,551,Luxo,1103.28
48333754996,2020-12-10,2020-12-11,138,Luxo,788.82
48333754996,2023-08-06,2023-08-13,867,Executivo,1001.8
48333754996,2023-04-04,2023-04-07,247,Luxo,682.73
04014664123,2022-01-25,2022-02-06,754,Luxo,830.58
04014664123,2023-01-02,2023-01-07,575,Executivo,577.34
59850300545,2022-07-02,2022-07-07,191,Executivo,857.37
66159932000,2023-03-14,2023-03-23,572,Executivo,914.11
66159932000,2020-10-26,2020-11-02,500,Standard,511.86
66159932000,2022-01-30,2022-02-04,656,Standard,1413.51
99747368494,2023-04-07,2023-04-11,754,Luxo,1473.16
99747368494,2022-09-16,2022-09-17,176,Executivo,246.4
99747368494,2020-04-19,2020-04-24,656,Luxo,214.61
08814852253,2022-07-25,2022-07-30,904,Standard,1115.22
08814852253,2023-07-20,2023-07-30,250,Executivo,1432.23
08814852253,2023-08-15,2023-08-25,458,Standard,578.25
08814852253,2020-06-09,2020-06-19,946,Standard,821.45
87383352115,2021-04-05,2021-04-19,702,Executivo,903.04
87383352115,2023-10-13,2023-10-21,235,Standard,1295.94
16052462916,2021-07-16,2021-07-28,798,Luxo,1368.6
16052462916,2022-04-20,2022-04-24,284,Executivo,555.47
16052462916,2023-11-07,2023-11-21,226,Executivo,789.51
16052462916,2021-10-23,2021-10-27,631,Standard,1223.18
99817050520,2023-04-30,2023-05-14,303,Standard,1360.76
99817050520,2021-10-29,2021-11-03,357,Executivo,608.81
95691066968,2021-01-18,2021-01-22,148,Standard,1243.28
95691066968,2021-07-09,2021-07-18,474,Luxo,1026.97
95691066968,2023-08-02,2023-08-06,291,Executivo,1170.23
95691066968,2022-10-10,2022-10-16,662,Executivo,1345.13
21694822900,2023-01-22,2023-02-01,777,Luxo,1169.91
21694822900,2023-10-22,2023-10-25,773,Executivo,380.4
21694822900,2021-12-23,2022-01-05,153,Standard,735.11
21694822900,2020-04-23,2020-05-02,460,Luxo,498.66
28480887777,2022-08-08,2022-08-16,742,Luxo,300.71
28480887777,2024-01-07,2024-01-13,459,Executivo,536.08
28480887777,2021-02-19,2021-03-01,932,Executivo,1243.71
90595380852,2020-05-18,2020-05-26,654,Standard,1284.75
90595380852,2022-02-14,2022-02-23,860,Luxo,408.81
90595380852,2020-11-26,2020-11-28,628,Luxo,758.77
90595380852,2020-06-23,2020-07-06,648,Luxo,254.98
61290237929,2023-08-20,2023-08-27,814,Luxo,792.41
61290237929,2021-01-21,2021-02-04,851,Luxo,683.76
51289814478,2021-06-02,2021-06-03,725,Standard,944.03
15671377604,2020-07-16,2020-07-23,108,Luxo,332.75
04923008228,2023-03-23,2023-04-01,624,Standard,1028.25
52359185717,2020-04-04,2020-04-19,677,Executivo,671.72
52359185717,2023-09-13,2023-09-27,152,Executivo,529.4
52359185717,2020-09-12,2020-09-13,960,Executivo,791.02
86916022835,2023-01-30,2023-02-04,276,Standard,993.12
86916022835,2023-03-22,2023-04-02,367,Executivo,1076.99
86916022835,2023-02-01,2023-02-06,353,Executivo,969.33
13501792508,2021-04-15,2021-04-29,803,Executivo,453.91
13501792508,2020-01-25,2020-01-31,862,Luxo,1150.56
29267068106,2021-06-16,2021-06-17,224,Executivo,293.7
30352163179,2021-03-24,2021-03-30,762,Executivo,261.77
95602370382,2021-10-03,2021-10-04,992,Executivo,1267.14
95602370382,2020-07-21,2020-08-02,410,Executivo,1484.04
26676327367,2022-06-19,2022-07-01,259,Executivo,890.92
26676327367,2022-07-06,2022-07-10,959,Executivo,267.52
95257169991,2023-12-12,2023-12-19,535,Standard,289.23
95257169991,2021-02-02,2021-02-11,193,Luxo,501.59
95257169991,2023-10-02,2023-10-07,584,Luxo,808.83
47787768904,2022-01-10,2022-01-21,337,Executivo,935.66
47787768904,2023-04-16,2023-04-18,780,Standard,329.14
47787768904,2021-06-12,2021-06-25,559,Executivo,1397.65
26540936825,2021-02-04,2021-02-18,375,Standard,1411.62
26540936825,2022-09-15,2022-09-16,963,Luxo,258.64
26540936825,2021-06-24,2021-06-28,565,Luxo,932.34
26540936825,2023-02-04,2023-02-07,256,Luxo,758.03
18247539675,2023-03-17,2023-03-22,778,Executivo,351.69
18247539675,2022-06-14,2022-06-26,338,Standard,433.17
18247539675,2022-11-12,2022-11-18,352,Standard,965.16
18247539675,2020-02-05,2020-02-17,259,Executivo,593.38
75657085095,2023-07-01,2023-07-08,191,Luxo,1396.15
75657085095,2020-03-20,2020-04-04,403,Luxo,1428.45
39239459730,2022-02-12,2022-02-20,802,Luxo,1383.3
94104129941,2021-06-16,2021-06-30,372,Luxo,1066.84
35706081220,2021-04-02,2021-04-06,823,Standard,245.44
35706081220,2021-10-05,2021-10-17,774,Standard,1488.64
35706081220,2021-01-20,2021-02-01,717,Luxo,675.93
35706081220,2023-01-18,2023-01-25,204,Luxo,648.83
11668397222,2020-07-11,2020-07-14,790,Standard,617.72
36390791106,2023-05-11,2023-05-22,592,Standard,397.13
36390791106,2021-07-15,2021-07-17,651,Standard,808.96
42152909748,2023-08-22,2023-09-04,919,Standard,898.0
42152909748,2020-08-25,2020-08-27,887,Executivo,322.91
03232832409,2021-11-15,2021-11-24,363,Standard,572.99
16553931429,2022-10-02,2022-10-17,673,Luxo,233.2
16553931429,2021-04-06,2021-04-10,306,Standard,406.11
43663709219,2023-07-18,2023-07-23,579,Standard,1092.81
28367882640,2021-08-31,2021-09-06,855,Standard,1413.61
12791894010,2021-02-26,2021-03-09,162,Luxo,1030.38
12791894010,2021-08-25,2021-08-30,308,Standard,1110.03
12791894010,2023-04-30,2023-05-09,825,Standard,887.61
58063195747,2023-12-06,2023-12-15,730,Luxo,355.29
58063195747,2020-11-11,2020-11-13,318,Luxo,1438.8
58063195747,2021-08-10,2021-08-18,546,Executivo,1040.85
58063195747,2023-12-30,2024-01-12,294,Luxo,1228.38
77744275570,2023-03-13,2023-03-25,604,Executivo,239.39
77744275570,2021-10-20,2021-11-01,964,Standard,594.54
77744275570,2022-01-14,2022-01-26,350,Executivo,1236.31
05108922324,2020-02-15,2020-02-16,723,Luxo,1371.13
68630713357,2020-12-28,2021-01-04,104,Executivo,1494.44
72438176563,2020-11-15,2020-11-25,805,Standard,1151.06
72438176563,2022-01-23,2022-01-26,476,Executivo,604.19
72438176563,2023-06-24,2023-07-04,837,Standard,726.72
53547661646,2023-01-21,2023-01-25,574,Standard,451.78
82913786821,2022-11-07,2022-11-20,655,Luxo,753.79
82913786821,2023-07-25,2023-08-02,593,Executivo,1216.5
15242563453,2021-10-05,2021-10-09,887,Luxo,729.81
76392994589,2023-06-28,2023-07-03,701,Standard,566.8
76392994589,2020-11-28,2020-12-02,925,Luxo,793.47
63525732469,2023-02-24,2023-03-07,119,Standard,397.95
63525732469,2022-10-07,2022-10-09,164,Standard,266.19
63525732469,2022-07-18,2022-08-02,697,Luxo,563.22
77549736618,2022-03-18,2022-03-21,387,Luxo,1099.49
77549736618,2020-06-02,2020-06-13,546,Standard,326.71
77549736618,2022-04-07,2022-04-15,589,Executivo,1157.66
77549736618,2024-01-05,2024-01-19,712,Luxo,1069.25
55558277284,2021-08-09,2021-08-21,584,Luxo,354.16
55558277284,2020-12-13,2020-12-25,625,Luxo,499.7
55558277284,2020-01-06,2020-01-11,443,Standard,1103.39
55558277284,2021-12-07,2021-12-08,867,Luxo,625.6
00133801228,2022-09-08,2022-09-19,781,Luxo,1037.86
00133801228,2021-04-08,2021-04-19,321,Executivo,394.89
40816242636,2020-08-26,2020-09-03,710,Executivo,1429.38
59662772540,2021-11-18,2021-11-19,636,Luxo,397.38
59662772540,2021-11-15,2021-11-25,213,Standard,479.23
59662772540,2023-03-03,2023-03-15,737,Luxo,1455.56
01938187358,2023-11-10,2023-11-11,313,Luxo,255.45
01938187358,2021-03-23,2021-03-26,866,Standard,329.23
01938187358,2020-08-07,2020-08-13,920,Luxo,228.86
75292669186,2020-02-19,2020-03-04,306,Standard,1457.47
75292669186,2022-11-12,2022-11-20,375,Standard,893.34
17781961899,2023-08-14,2023-08-20,861,Luxo,816.55
17781961899,2021-10-20,2021-10-21,529,Executivo,1127.31
53067991835,2023-08-22,2023-08-29,887,Executivo,660.24
77125935790,2020-10-19,2020-10-28,503,Executivo,1148.65
77125935790,2020-03-31,2020-04-05,105,Executivo,332.88
77125935790,2022-09-16,2022-09-23,543,Standard,382.0
77125935790,2021-08-01,2021-08-07,171,Executivo,546.02
02680884699,2022-01-30,2022-01-31,818,Executivo,1002.49
02680884699,2021-08-03,2021-08-06,996,Luxo,1121.97
30485913934,2022-06-01,2022-06-11,534,Standard,1089.42
30485913934,2022-11-06,2022-11-18,601,Standard,632.09
